"Original","Masked","Field","RowIndex"
"City of London Police","fLrvQqOIz9do","Reported by","56"
"City of London Police","fLrvQqOIz9do","Falls within","56"
"On or near Houndsditch","ltiGntlRaFCz","Location","56"
"City of London Police","fLrvQqOIz9do","Reported by","57"
"City of London Police","fLrvQqOIz9do","Falls within","57"
"On or near St Clare Street","rxdkikB/nb/t","Location","57"
"City of London Police","fLrvQqOIz9do","Reported by","58"
"City of London Police","fLrvQqOIz9do","Falls within","58"
"On or near Amen Court","xiJytzLUzDN4","Location","58"
"City of London Police","fLrvQqOIz9do","Reported by","59"
"City of London Police","fLrvQqOIz9do","Falls within","59"
"On or near A201","j4PeMUhtWtkm","Location","59"
"City of London Police","fLrvQqOIz9do","Reported by","60"
"City of London Police","fLrvQqOIz9do","Falls within","60"
"On or near A201","j4PeMUhtWtkm","Location","60"
"City of London Police","fLrvQqOIz9do","Reported by","61"
"City of London Police","fLrvQqOIz9do","Falls within","61"
"On or near Hospital","d5pekZN+0uOy","Location","61"
"City of London Police","fLrvQqOIz9do","Reported by","62"
"City of London Police","fLrvQqOIz9do","Falls within","62"
"On or near Minories","vdhu9SSGlJvI","Location","62"
"City of London Police","fLrvQqOIz9do","Reported by","63"
"City of London Police","fLrvQqOIz9do","Falls within","63"
"On or near Corbet Court","2eP832Hq9waE","Location","63"
"City of London Police","fLrvQqOIz9do","Reported by","64"
"City of London Police","fLrvQqOIz9do","Falls within","64"
"On or near Liverpool Street","MlZHXg61uPKd","Location","64"
"City of London Police","fLrvQqOIz9do","Reported by","65"
"City of London Police","fLrvQqOIz9do","Falls within","65"
"No location","ToR5xtQyHv2n","Location","65"
"City of London Police","fLrvQqOIz9do","Reported by","66"
"City of London Police","fLrvQqOIz9do","Falls within","66"
"On or near Parking Area","fYKCWrLNHNL/","Location","66"
"City of London Police","fLrvQqOIz9do","Reported by","67"
"City of London Police","fLrvQqOIz9do","Falls within","67"
"On or near Amen Court","xiJytzLUzDN4","Location","67"
"City of London Police","fLrvQqOIz9do","Reported by","68"
"City of London Police","fLrvQqOIz9do","Falls within","68"
"On or near Creechurch Lane","Q6Ae0GmEoc0v","Location","68"
"City of London Police","fLrvQqOIz9do","Reported by","69"
"City of London Police","fLrvQqOIz9do","Falls within","69"
"On or near Cannon Street","xXi1HTC9dEVp","Location","69"
"City of London Police","fLrvQqOIz9do","Reported by","70"
"City of London Police","fLrvQqOIz9do","Falls within","70"
"On or near Great Tower Street","iB9VbCaLMFie","Location","70"
"City of London Police","fLrvQqOIz9do","Reported by","71"
"City of London Police","fLrvQqOIz9do","Falls within","71"
"On or near Finch Lane","cW1AWnntcpSD","Location","71"
"City of London Police","fLrvQqOIz9do","Reported by","72"
"City of London Police","fLrvQqOIz9do","Falls within","72"
"On or near Shopping Area","fzK/HvsYVthT","Location","72"
"City of London Police","fLrvQqOIz9do","Reported by","73"
"City of London Police","fLrvQqOIz9do","Falls within","73"
"On or near Widegate Street","/y8mYHoAQTLI","Location","73"
"City of London Police","fLrvQqOIz9do","Reported by","74"
"City of London Police","fLrvQqOIz9do","Falls within","74"
"On or near Southampton Buildings","P77DQE5SDy64","Location","74"
"City of London Police","fLrvQqOIz9do","Reported by","75"
"City of London Police","fLrvQqOIz9do","Falls within","75"
